CA,2024,0724,,Q03---,[1],___,[2],___,[3],___,[1];1;,[2];1;,[3];1;,
15,0085AH,0724,11:47:22,Q03---,[1]よくできた,,[2]非常に興味深かった,,[3],,[1]よくできた,[2]非常に興味深かった,[3],
16,0086AH,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[1]na,[2]na,[3]na,
17,0088AH,0724,11:57:56,Q03---,[1]初めて触るアプリが多く難しかったが、非常に興味深い内容であった。先生も大変親身になって対応していただけてやりがいがあった。,,[2]楽しかった。履修してよかったと思った。,,[3]特になし,,[1]初めて触るアプリが多く難しかったが、非常に興味深い内容であった。先生も大変親身になって対応していただけてやりがいがあった。,[2]楽しかった。履修してよかったと思った。,[3]特になし,
18,0089AH,0724,11:53:23,Q03---,[1]達成できた,,[2]とても勉強になる授業で、数学を図にすることができるとすごくわかりやすくなってその魅力をより一層に感じられることを実感しました。,,[3]なし,,[1]達成できた,[2]とても勉強になる授業で、数学を図にすることができるとすごくわかりやすくなってその魅力をより一層に感じられることを実感しました。,[3]なし,
19,0090AH,0724,13:18:20,Q03---,[1]20%くらいです。使いこなすことができなかった。,,[2]前半の指導案作成がとても楽しかった。ご教授頂きありがとうございました。,,[3]特にありません。,,[1]20%くらいです。使いこなすことができなかった。,[2]前半の指導案作成がとても楽しかった。ご教授頂きありがとうございました。,[3]特にありません。,
20,0091AH,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[1]na,[2]na,[3]na,
21,0092AH,0724,11:58:57,Q03---,[1]まあまあできた,,[2]勉強になった,,[3]特になし,,[1]まあまあできた,[2]勉強になった,[3]特になし,
22,0098AH,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[1]na,[2]na,[3]na,
23,0099AH,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[1]na,[2]na,[3]na,
24,0102AH,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[1]na,[2]na,[3]na,
25,1003AH,0724,12:2:42,Q03---,[1]理解できた,,[2]最初難しかったが、インストール方法などを個別で対応してもらい、使い方を教えていただいたため、しっかりと理解できた。,,[3]インストールが一番最初の壁であると思うので、まず最初にインストールを個別に全員完全にできるまで対応してもらうことが、授業を効率よく進めるために必要であると思う。個別に対応してもらってからは、理解の円滑度が相当違うと思う。,,[1]理解できた,[2]最初難しかったが、インストール方法などを個別で対応してもらい、使い方を教えていただいたため、しっかりと理解できた。,[3]インストールが一番最初の壁であると思うので、まず最初にインストールを個別に全員完全にできるまで対応してもらうことが、授業を効率よく進めるために必要であると思う。個別に対応してもらってからは、理解の円滑度が相当違うと思う。,
26,3002MH,0724,12:1:25,Q03---,[1]インストールして動かすまでは出来た,,[2]前半は分かりやすかったのですが、後半複雑でファイルの置き場所やコーディング方法などに一つ詰まってしまうと置いて行かれてしまい、なかなか最後までたどり着けなかった。,,[3]授業の録画を残しておいてほしい。高遠先生の授業がスコームに無いので復習が出来ず追いつけない。,,[1]インストールして動かすまでは出来た,[2]前半は分かりやすかったのですが、後半複雑でファイルの置き場所やコーディング方法などに一つ詰まってしまうと置いて行かれてしまい、なかなか最後までたどり着けなかった。,[3]授業の録画を残しておいてほしい。高遠先生の授業がスコームに無いので復習が出来ず追いつけない。,
27,1006AH,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[1]na,[2]na,[3]na,
28,1054AH,0724,14:15:13,Q03---,[1]60/100,,[2]難しい分達成感も大きい,,[3]充実した授業でした,,[1]60/100,[2]難しい分達成感も大きい,[3]充実した授業でした,
29,1100AH,0724,12:35:55,Q03---,[1]KeTCindyが使えるようになった,,[2]最初はなにをやっているのか追いつけない部分もあったが、毎週授業でKeTCindyの詳しい使い方の説明を受けていくうちに、だんだんと自分でも操作ができるようになったのが嬉しく思います。,,[3]今年度で牧下先生の授業は最後になってしまうとのことでしたが、何かしらの形でKeTCindyを取り扱う授業が残ってくれたらいいなと感じます。,,[1]K*e*T*C*i*n*d*yが使えるようになった,[2]最初はなにをやっているのか追いつけない部分もあったが、毎週授業でK*e*T*C*i*n*d*yの詳しい使い方の説明を受けていくうちに、だんだんと自分でも操作ができるようになったのが嬉しく思います。,[3]今年度で牧下先生の授業は最後になってしまうとのことでしたが、何かしらの形でK*e*T*C*i*n*d*yを取り扱う授業が残ってくれたらいいなと感じます。,
30,0029BN,0724,21:4:1,Q03---,[1]あまりできるようにはならなかったと思う,,[2]今までシステム的なことをやったことがなく非常に難しかった。,,[3]ソフトのインストール方法だけではなく、もう少し簡単にわかりやすく説明してほしい。,,[1]あまりできるようにはならなかったと思う,[2]今までシステム的なことをやったことがなく非常に難しかった。,[3]ソフトのインストール方法だけではなく、もう少し簡単にわかりやすく説明してほしい。,
31,1004BN,0724,12:28:3,Q03---,[1]理解するのが難しかった。,,[2]生命科学の分野を普段勉強しているので、毎回の授業を理解するのが難しかった。,,[3]とくにないです。,,[1]理解するのが難しかった。,[2]生命科学の分野を普段勉強しているので、毎回の授業を理解するのが難しかった。,[3]とくにないです。,
32,1061BN,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[1]na,[2]na,[3]na,
33,0044BV,0724,11:49:24,Q03---KeTTexがどんなツールなのか、何ができるのかについて理解できた。今後の論文作成に活かしていければと思う,[1]授業時間内でcdyスクリプトを編集することはできなかったが、スライドを参考にゆっくりと基礎的なやり方を習得することができた。,,[2]インストール方法などをスライドにまとめてくださり大変助かりました。現在texで論文作成をしているので、どこかのタイミングでkettexを使っていきたいと感じました。,,[3]インストール方法がなかなか複雑で、個人的に一番苦労した部分でした。一括でインストールできるツールのリリースが楽しみです。,,[1]授業時間内でc*d*yスクリプトを編集することはできなかったが、スライドを参考にゆっくりと基礎的なやり方を習得することができた。,[2]インストール方法などをスライドにまとめてくださり大変助かりました。現在t*e*xで論文作成をしているので、どこかのタイミングでk*e*t*t*e*xを使っていきたいと感じました。,[3]インストール方法がなかなか複雑で、個人的に一番苦労した部分でした。一括でインストールできるツールのリリースが楽しみです。,
34,1072MF,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[1]na,[2]na,[3]na,
35,3042MF,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[1]na,[2]na,[3]na,
36,3072MF,0724,11:59:26,Q03---,[1]KeTCindyを使ってグラフを描ける,,[2]Mathematica以外のグラフの作成方法を得られて良かった,,[3]来年度以降もKeTCindyを続けてほしい,,[1]K*e*T*C*i*n*d*yを使ってグラフを描ける,[2]M*a*t*h*e*m*a*t*i*c*a以外のグラフの作成方法を得られて良かった,[3]来年度以降もK*e*T*C*i*n*d*yを続けてほしい,
37,3118MF,0724,12:0:56,Q03---,[1]まだ問0703以降が達成できていないので、7割くらいです。,,[2]とても有用なことを学ぶことができ、嬉しかったです。,,[3]授業動画をすべて載せていただけると嬉しいです。,,[1]まだ問0703以降が達成できていないので、7割くらいです。,[2]とても有用なことを学ぶことができ、嬉しかったです。,[3]授業動画をすべて載せていただけると嬉しいです。,
