CA,,,,,[1] 2x^2+3x+1,2,[2],2,[3],2,[4] sin(x)+cos(x),2,[1];1;2*x^2+3*x+1,[2];1;,[3];1;,[4];1;sin(x)+cos(x),
16,0086AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[1]na,[2]na,[3]na,[4]na,
17,0088AH,0508,12:38:10,Q04---,[1]  2x^(2)+3x+1,0,[2]0,,[3]fr(sq(3):3),,[4]  sin(x)+cos(x),,[1]2*x^(2)+3*x+1,[2]0,[3]((sqrt(3))/(3)),[4]sin(x)+cos(x),
18,0089AH,0508,12:15:23,Q04---,[1]  2x^(2)+3x+1,0,[2]0,,[3]fr(sq(3):3),,[4]  sin(x)+cos(x),,[1]2*x^(2)+3*x+1,[2]0,[3]((sqrt(3))/(3)),[4]sin(x)+cos(x),
19,0090AH,0508,12:20:12,Q04---,[1]  2x^(2)+3x+1,0,[2]  3x-4,,[3]fr(sq(3):3),,[4]  sin(x)+cos(x),,[1]2*x^(2)+3*x+1,[2]3*x-4,[3]((sqrt(3))/(3)),[4]sin(x)+cos(x),
20,0091AH,0508,12:16:5,Q04---,[1]  2*x^(2)+3x+1,0,[2]  3x-4,,[3]fr(sq(3):3),,[4]  sin(x)+cos(x),,[1]2*x^(2)+3*x+1,[2]3*x-4,[3]((sqrt(3))/(3)),[4]sin(x)+cos(x),
21,0092AH,0508,12:16:2,Q04---,[1]  2x^(2)+3x+1,0,[2]0,,[3]fr(sq(3):3),,[4]  sin(x)+cos(x),,[1]2*x^(2)+3*x+1,[2]0,[3]((sqrt(3))/(3)),[4]sin(x)+cos(x),
22,0098AH,0508,12:25:0,Q04---,[1]  2x^(2)+3x+1,0,[2]0,,[3]fr(sq(3):3),,[4]  sin(x)+cos(x),,[1]2*x^(2)+3*x+1,[2]0,[3]((sqrt(3))/(3)),[4]sin(x)+cos(x),
23,0099AH,0508,12:19:19,Q04---,[1]  2x^(2)+3x+1,0,[2]0,,[3]fr(sq(3):3),,[4]  sin(x)+cos(x),,[1]2*x^(2)+3*x+1,[2]0,[3]((sqrt(3))/(3)),[4]sin(x)+cos(x),
24,0102AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[1]na,[2]na,[3]na,[4]na,
25,1003AH,0508,12:25:37,Q04---,[1]  2x^(2)+3x+1,0,[2]0,,[3]fr(sq(3):3),,[4]  sin(x)+cos(x),,[1]2*x^(2)+3*x+1,[2]0,[3]((sqrt(3))/(3)),[4]sin(x)+cos(x),
26,3002MH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[1]na,[2]na,[3]na,[4]na,
27,1006AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[1]na,[2]na,[3]na,[4]na,
28,1054AH,0508,12:28:51,Q04---,[1]  2x^(2)+3x+1,0,[2]0,,[3]fr(sq(3):3),,[4]  sin(x)+cos(x),,[1]2*x^(2)+3*x+1,[2]0,[3]((sqrt(3))/(3)),[4]sin(x)+cos(x),
29,1100AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[1]na,[2]na,[3]na,[4]na,
30,0029BN,0508,12:22:20,Q04---,[1]  2x^(2)+3x+1,0,[2]0,,[3]fr(sq(3):3),,[4]  sin(x)+cos(x),,[1]2*x^(2)+3*x+1,[2]0,[3]((sqrt(3))/(3)),[4]sin(x)+cos(x),
31,1004BN,0508,12:26:36,Q04---,[1]  {2x^(2)+3x+1},0,[2]0},,[3]\dfrac{\sqrt{3}}{3}},,[4] {\sin x+\cos x},,[1]2*x^(2)+3*x+1},[2]0},[3]\d*f*r*a*c\s*q*r*t3}}3}},[4]\s*i*n*x+\c*o*s*x},
32,1061BN,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[1]na,[2]na,[3]na,[4]na,
33,0044BV,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[1]na,[2]na,[3]na,[4]na,
34,1072MF,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[1]na,[2]na,[3]na,[4]na,
35,3042MF,0508,12:19:28,Q04---,[1]  2x^(2)+3x+1,0,[2]0,,[3]fr(sq(3):3),,[4]  sin(x)+cos(x),,[1]2*x^(2)+3*x+1,[2]0,[3]((sqrt(3))/(3)),[4]sin(x)+cos(x),
36,3072MF,0508,12:20:27,Q04---,[1]  2x^(2)+3x+1,,[2]0,,[3]fr(sq(3):3),,[4]  sin(x)+cos(x),,[1]2*x^(2)+3*x+1,[2]0,[3]((sqrt(3))/(3)),[4]sin(x)+cos(x),
37,3118MF,0508,12:18:29,Q04---,[1]  2x^(2)+3x+1,,[2]0,,[3]fr(sq(3):3),,[4]  sin(x)+cos(x),,[1]2*x^(2)+3*x+1,[2]0,[3]((sqrt(3))/(3)),[4]sin(x)+cos(x),
