CA,,,,,[1] -fr(3:5),2,[2] fr(xy:x+y),2,[3] sq(3)-sq(2),2,[4] fr(pi:2),2,[1];1;-((3)/(5)),[2];1;((x*y)/(x+y)),[3];1;sqrt(3)-sqrt(2),[4];1;((%pi)/(2)),
22,0098AH,0508,12:20:54,Q03---,[1]-fr(3:5),0,[2]  fr(xy:x+y),,[3]  sq(3)-sq(2),,[4]  fr(pi:2),,[1]-((3)/(5)),[2]((x*y)/(x+y)),[3]sqrt(3)-sqrt(2),[4]((%pi)/(2)),
23,0099AH,0508,12:15:57,Q03---,[1]  fr(-3:5),0,[2]  fr(xy:x+y),,[3]  sq(3)-sq(2),,[4]  fr(pi:2),,[1]((-3)/(5)),[2]((x*y)/(x+y)),[3]sqrt(3)-sqrt(2),[4]((%pi)/(2)),
24,0102AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[1]na,[2]na,[3]na,[4]na,
25,1003AH,0508,12:19:56,Q03---,[1]  @-fr(3:5)@,0,[2]  @fr(xy:x+y)@,,[3]  @sq(3)-sq(2)@,,[4]  @fr(pi:2)@,,[1]@-((3)/(5))@,[2]@((x*y)/(x+y))@,[3]@sqrt(3)-sqrt(2)@,[4]@((%pi)/(2))@,
26,3002MH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[1]na,[2]na,[3]na,[4]na,
27,1006AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[1]na,[2]na,[3]na,[4]na,
28,1054AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[1]na,[2]na,[3]na,[4]na,
29,1100AH,0508,12:22:44,Q03---,[1]  -fr(3:5),0,[2]  fr(xy:x+y),,[3]  sq(3)-sq(2),,[4]  fr(pi:2),,[1]-((3)/(5)),[2]((x*y)/(x+y)),[3]sqrt(3)-sqrt(2),[4]((%pi)/(2)),
30,0029BN,0508,12:17:55,Q03---,[1]  -fr(3:5),0,[2]  fr(xy:x+y),,[3]  sq(3)-sq(2),,[4]  fr(pi:2),,[1]-((3)/(5)),[2]((x*y)/(x+y)),[3]sqrt(3)-sqrt(2),[4]((%pi)/(2)),
31,1004BN,0508,12:17:24,Q03---,[1]  -\dfrac{3}{5},0,[2]  {\dfrac{xy}{x+y}},,[3]  {\sqrt{3}-\sqrt{2}},,[4]  {\dfrac{pi}{2}},,[1]-\d*f*r*a*c3}5},[2]\d*f*r*a*cx*y}x+y}},[3]\s*q*r*t3}-\s*q*r*t2}},[4]\dfrac%pi}2}},
32,1061BN,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[1]na,[2]na,[3]na,[4]na,
33,0044BV,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[1]na,[2]na,[3]na,[4]na,
34,1072MF,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[1]na,[2]na,[3]na,[4]na,
35,3042MF,0508,12:15:31,Q03---,[1]  -fr(3:5),0,[2]  fr(xy:x+y),,[3]  sq(3)-sq(2),,[4]  fr(pi:2),,[1]-((3)/(5)),[2]((x*y)/(x+y)),[3]sqrt(3)-sqrt(2),[4]((%pi)/(2)),
36,3072MF,0508,12:17:11,Q03---,[1]  -fr(3:5),0,[2]  fr(xy:x+y),,[3]  sq(3)-sq(2),,[4]  fr(pi:2),,[1]-((3)/(5)),[2]((x*y)/(x+y)),[3]sqrt(3)-sqrt(2),[4]((%pi)/(2)),
37,3118MF,0508,12:14:38,Q03---,[1]  - fr(3:5),0,[2]  fr(xy:x+y),,[3] sq(3)-sq(2),,[4]  fr(pi:2),,[1]-((3)/(5)),[2]((x*y)/(x+y)),[3]sqrt(3)-sqrt(2),[4]((%pi)/(2)),
