CA,,,,,[1] fr(1+4:3),2,[2] a+fr(b:c)+d,2,[3] fr(sq(2):2),2,[4] pirˆ(2),2,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]((sqrt(2))/(2)),[4]%pi*rˆ(2)
12,0064AH,508,12:11:5,Q02---,[1]  fr(1+4:3),0,[2]  a+fr(b:c)+d,,[3]  sq(2)/2,,[4]  pir^(2),,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]sqrt(2)/2,[4]%pi*r^(2)
13,0070AH,508,12:10:17,Q02---,[1] fr(1+4:3),0,[2]  a+fr(b:c)+d,,[3]  fr(sq(2):2),,[4]  pir^(2),,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]((sqrt(2))/(2)),[4]%pi*r^(2)
14,0084AH,508,12:12:23,Q02---,[1]  fr(1+4:3),0,[2]  a+fr(b:c)+d,,[3]  fr(sq(2):2),,[4]  pir^(2),,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]((sqrt(2))/(2)),[4]%pi*r^(2)
15,0085AH,508,12:8:22,Q02---,[1]  fr(1+4:3),0,[2]  a+b/c+d,,[3]  sq(2)/2,,[4]  pir^(2),,[1]((1+4)/(3)),[2]a+b/c+d,[3]sqrt(2)/2,[4]%pi*r^(2)
16,0086AH,508,12:25:28,Q02---,[1]  fr(1+4:3),0,[2]a+fr(b:c)+d,,[3]  fr(sq(2):2),,[4]pir^(2),,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]((sqrt(2))/(2)),[4]%pi*r^(2)
17,0088AH,508,12:12:9,Q02---,[1]  fr(1+4:3),0,[2]  a+fr(b:c)+d,,[3]  fr(sq(2):2),,[4]  pir^(2),,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]((sqrt(2))/(2)),[4]%pi*r^(2)
18,0089AH,508,12:7:59,Q02---,[1]  fr(1+4:3),0,[2] a+ fr(b:c)+d,,[3]  sq(2)/2,,[4]  pir^(2),,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]sqrt(2)/2,[4]%pi*r^(2)
19,0090AH,508,12:8:44,Q02---,[1]  fr(1+4:3),0,[2]a+fr(b:c)+d,,[3]fr(sq(2):2),,[4]  pir^(2),,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]((sqrt(2))/(2)),[4]%pi*r^(2)
20,0091AH,508,12:11:19,Q02---,[1]  fr(1+4:3),0,[2]  a+fr(b:c)+d,,[3]  fr(sq(2):2),,[4]  pi*r^(2),,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]((sqrt(2))/(2)),[4]%pi*r^(2)
21,0092AH,508,12:9:55,Q02---,[1]  fr(1+4:3),0,[2]  a+fr(b:c)+d,,[3]  fr(sq(2):2),,[4]  pir^(2),,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]((sqrt(2))/(2)),[4]%pi*r^(2)
22,0098AH,508,12:7:36,Q02---,[1]  fr(1+4:3),0,[2]  a+b/c+d,,[3]  sq((2)/2),,[4]  pir^(3),,[1]((1+4)/(3)),[2]a+b/c+d,[3]sqrt((2)/2),[4]%pi*r^(3)
23,0099AH,508,12:10:18,Q02---,[1]  fr(1+4:3),0,[2]  a+fr(b:c)+d,,[3]  sq(2)/2,,[4]  pir^(2),,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]sqrt(2)/2,[4]%pi*r^(2)
24,0102AH,508,12:10:42,Q02---,[1]  fr(1+4:3),0,[2]  a+fr(b:c)+d,,[3],,[4],,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3],[4]
25,1003AH,508,12:12:22,Q02---,[1]  fr(1+4:3),0,[2]  a+fr(b:c)+d,,[3]  fr(sq(2):2),,[4]  pir^(2),,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]((sqrt(2))/(2)),[4]%pi*r^(2)
26,3002MH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[1]na,[2]na,[3]na,[4]na
27,1006AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[1]na,[2]na,[3]na,[4]na
28,1054AH,508,12:32:0,Q02---,[1]  fr(1+4:3),0,[2]  A+B/C+D,,[3]  sq(2)/2,,[4]  piR^(2),,[1]((1+4)/(3)),[2]A+B/C+D,[3]sqrt(2)/2,[4]%pi*R^(2)
29,1100AH,508,12:12:11,Q02---,[1]  fr(1+4:3),0,[2]  a+fr(b:c)+d,,[3]  sq(2)/2,,[4]  pir^(2),,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]sqrt(2)/2,[4]%pi*r^(2)
30,0029BN,508,12:9:28,Q02---,[1]  fr(1+4:3),0,[2] a+fr(b:c)+d,,[3]  sq(2)/2,,[4]  pir^(2),,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]sqrt(2)/2,[4]%pi*r^(2)
31,1004BN,508,12:12:16,Q02---,[1]  fr(1+4:3),0,[2]  a+fr(b:c)+d,,[3]fr(sq(2):2),,[4]  pir^(2),,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]((sqrt(2))/(2)),[4]%pi*r^(2)
32,1061BN,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[1]na,[2]na,[3]na,[4]na
33,0044BV,508,12:13:11,Q02---,[1]  fr(1+4:3),0,[2]  a+fr(b:c)+d,,[3]  fr(sq(2):2),,[4]  pir^(2),,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]((sqrt(2))/(2)),[4]%pi*r^(2)
34,1072MF,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[1]na,[2]na,[3]na,[4]na
35,3042MF,508,12:11:59,Q02---,[1]  fr(1+4:3),0,[2]  a+fr(b:c)+d,,[3]  fr(1:sq(2)),,[4]  pir^(2),,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]((1)/(sqrt(2))),[4]%pi*r^(2)
36,3072MF,508,12:12:40,Q02---,[1]  fr(1+4:3),0,[2]  a+fr(b:c)+d,,[3]  fr(sq(2):2),,[4]  pir^(2),,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]((sqrt(2))/(2)),[4]%pi*r^(2)
37,3118MF,508,12:9:46,Q02---,[1]  fr(1+4:3),0,[2] a+fr(b:c)+d,,[3]  fr(sq(2):2),,[4]  pir^(2),,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]((sqrt(2))/(2)),[4]%pi*r^(2)
