CA,2024,0612,,Q02---,[1],2,[2],2,[1];1;,[2];1;,
11,0061AH,0612,16:4:25,Q02---,[1]Ketinit();  Listplot("1":[A:B:C:A]:["da:3:1"]);  Windispg();  //Help("List"); //Help("Option");,,[2]作業スピードがとても速いため、定期的に講義を止めて学生が作業する時間を設けてほしいです。先生が話すのみでは学生は手を動かすことができません。よろしくお願いいたします。,,[1]K*e*t*i*n*i*t*;L*i*s*t*p*l*o*t*("1"::);W*i*n*d*i*s*p*g*;//H*e*l*p*("L*i*s*t");//H*e*l*p*("O*p*t*i*o*n");,[2]作業スピードがとても速いため、定期的に講義を止めて学生が作業する時間を設けてほしいです。先生が話すのみでは学生は手を動かすことができません。よろしくお願いいたします。,
12,0064AH,0612,12:25:2,Q02---,[1]Ketinit();   Bezier("1":[A:B:C:D:A]:[G:H:K:F]); Listplot("1":[E:NE]:[nodisp]); pts=Intersectcrvs("bz1":"sg1"); np=length(pts); if(mod(np:2)==0: Letter([NE.x:SW.y]:"e":"外部"); : Letter([NE.x:SW.y]:"e":"内部"); );  Windispg();  //Help("Intersect"); //Help("Option");,,[2]説明のスピードが少し早く，1回詰まってしまうとついていけなくなることがある,,[1]I*n*t*e*r*s*e*c*t*c*r*v*s*("b*z*1":"s*g*1");n*p=l*e*n*g*t*h*(p*t*s);i*f*(m*o*d*(n*p:2)==0:L*e*t*t*e*r*(:"e":"外部");:L*e*t*t*e*r*(:"e":"内部"););W*i*n*d*i*s*p*g*;//H*e*l*p*("I*n*t*e*r*s*e*c*t");//H*e*l*p*("O*p*t*i*o*n");,[2]説明のスピードが少し早く，1回詰まってしまうとついていけなくなることがある,
13,0070AH,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
14,0084AH,0612,12:25:44,Q02---,[1]Ketinit();  Listplot("1":[A:D:B:C:A]:["dr:2"]); Circledata("1":[A:E]); Bezier("1":[A:D]:[F]);  Letter([B:"w5":"B"]); Expr(C:"ne3":"y=x^2"); Windispg();  Help("Bez"); //Help("Option");,,[2]はじめてのプログラミングで難しいが、楽しい。できるなら、授業動画を毎回配信してほしい。,,[1]x^2");W*i*n*d*i*s*p*g*;H*e*l*p*("B*e*z");//H*e*l*p*("O*p*t*i*o*n");,[2]はじめてのプログラミングで難しいが、楽しい。できるなら、授業動画を毎回配信してほしい。,
15,0085AH,0612,12:38:8,Q02---,[1],,[2]とてもわかり易く、将来的に使う機会がある時はいつでも活用できるようになりました。,,[1],[2]とてもわかり易く、将来的に使う機会がある時はいつでも活用できるようになりました。,
16,0086AH,0612,12:27:23,Q02---,[1],,[2]シンデレラのスクリプトの使い方が少し難しかった,,[1],[2]シンデレラのスクリプトの使い方が少し難しかった,
17,0088AH,0612,12:25:20,Q02---,[1],,[2]お忙しい中授業をしていただきありがとうございました。,,[1],[2]お忙しい中授業をしていただきありがとうございました。,
18,0089AH,0612,12:23:4,Q02---,[1]Ketinit();  Bezier("1":[A:B:C:D:A]:[G:H:K:F]); Listplot("1":[E:NE]); pts=Intersectcrvs("bz1":"sg1"); np=length(pts); println(np);  Windispg();  //Help("Intersect"); //Help("Option");,,[2]なし,,[1]I*n*t*e*r*s*e*c*t*c*r*v*s*("b*z*1":"s*g*1");n*p=l*e*n*g*t*h*(p*t*s);p*r*i*n*t*l*n*(n*p);W*i*n*d*i*s*p*g*;//H*e*l*p*("I*n*t*e*r*s*e*c*t");//H*e*l*p*("O*p*t*i*o*n");,[2]なし,
19,0090AH,0612,12:32:28,Q02---,[1]Ketinit();  Listplot("1":[A:C:B:D:A]:["dr:2"]); Circledata("1":[A:E]); Letter([B:"n":"B"]); Windispg();  //Help("List"); //Help("Option");,,[2]シンデレラの使い方がより一層クリアになりました。要望は特にありません、現行で問題ありません。今後ともよろしくお願いいたします。,,[1]K*e*t*i*n*i*t*;L*i*s*t*p*l*o*t*("1"::);C*i*r*c*l*e*d*a*t*a*("1":);L*e*t*t*e*r*;W*i*n*d*i*s*p*g*;//H*e*l*p*("L*i*s*t");//H*e*l*p*("O*p*t*i*o*n");,[2]シンデレラの使い方がより一層クリアになりました。要望は特にありません、現行で問題ありません。今後ともよろしくお願いいたします。,
20,0091AH,0612,12:26:6,Q02---,[1]Ketinit();  Bezier("1":[A:B:D:C:A]:[E:F:G:H]); Listplot("1":[L:NE]); pts=Intersectcrvs("bz1":"sg1"); np=length(pts); if(mod(np:2)==0:   Letter([NE.x:SW.y]:"e":"外部"); :   Letter([NE.x:SW.y]:"e":"内部"); );  Windispg();  //Help("Be"); //Help("Option);,,[2]ketcindyでいろいろできることが分かって興味深かった。,,[1]I*n*t*e*r*s*e*c*t*c*r*v*s*("b*z*1":"s*g*1");n*p=l*e*n*g*t*h*(p*t*s);i*f*(m*o*d*(n*p:2)==0:L*e*t*t*e*r*(:"e":"外部");:L*e*t*t*e*r*(:"e":"内部"););W*i*n*d*i*s*p*g*;//H*e*l*p*("B*e");//H*e*l*p*("O*p*t*i*o*n);,[2]k*e*t*c*i*n*d*yでいろいろできることが分かって興味深かった。,
21,0092AH,0612,12:24:11,Q02---,[1]Ketinit();  Bezier("1":[A:B:C:D:A]:[G:H:K:F]); Listplot("1":[L:NE]:["nodisp"]); pts=Intersectcrvs("bz1":"sg1"); np=length(pts); if(mod(np:2)==0: 	Letter([NE.x:SW.y]:"e":"外部"); : 	Letter([NE.x:SW.y]:"e":"内部"); ); Windispg();  //Help("Intersect"); //Help("Option");,,[2]勉強になりました,,[1]I*n*t*e*r*s*e*c*t*c*r*v*s*("b*z*1":"s*g*1");n*p=l*e*n*g*t*h*(p*t*s);i*f*(m*o*d*(n*p:2)==0:	L*e*t*t*e*r*(:"e":"外部");:	L*e*t*t*e*r*(:"e":"内部"););W*i*n*d*i*s*p*g*;//H*e*l*p*("I*n*t*e*r*s*e*c*t");//H*e*l*p*("O*p*t*i*o*n");,[2]勉強になりました,
22,0098AH,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
23,0099AH,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
24,0102AH,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
25,1003AH,0612,13:4:53,Q02---,[1]Ketinit(); Setparent("figurex");  Listplot("1":[A:B:C:D:A]:["dr:2"]); Figpdf(); Windispg();  //Help("Figpdf"); //Help("Option");,,[2]授業外の時間でKeTTeXなどのインストール方法などを指導していただきまして、ありがとうございました。その時は3人という少人数で行ったため、自分のペースに沿ってインストールを行えたためとてもわかりやすく、理解しながら出来ました。KeTTeXなどのインストールが少し難しいソフトは、学生を何グループかに分けて、少人数で説明して進めていくとスムーズに授業が進むと思います。ソフト内で簡単に自由な図形を作れることに面白さを感じ、これから作図をしたいときなどに活用していこうと考えました。,,[1]K*e*t*i*n*i*t*;S*e*t*p*a*r*e*n*t*("f*i*g*u*r*e*x");L*i*s*t*p*l*o*t*("1"::);F*i*g*p*d*f*;W*i*n*d*i*s*p*g*;//H*e*l*p*("F*i*g*p*d*f");//H*e*l*p*("O*p*t*i*o*n");,[2]授業外の時間でK*e*T*T*e*Xなどのインストール方法などを指導していただきまして、ありがとうございました。その時は3人という少人数で行ったため、自分のペースに沿ってインストールを行えたためとてもわかりやすく、理解しながら出来ました。K*e*T*T*e*Xなどのインストールが少し難しいソフトは、学生を何グループかに分けて、少人数で説明して進めていくとスムーズに授業が進むと思います。ソフト内で簡単に自由な図形を作れることに面白さを感じ、これから作図をしたいときなどに活用していこうと考えました。,
26,3002MH,0612,12:29:13,Q02---,[1]Ketinit();  Listplot("1":[A:B:C:D:A]:["dr:2"]); Circledata("1":[A:E]); Bezier("1":[A:D]:[F]); Letter([B:"n3":"B"]); Expr([C:"ne":"y=x^2"]); Windispg();   //Help("Ex"); //Help("Option");　,,[1]x^2"___,[1]x^2"___,
27,1006AH,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
28,1054AH,0612,12:36:25,Q02---,[1]Ketinit();  Bezier("1":[A:B:C:D:A]:[G:H:K:F]); Listplot("1":[E:NE]); pts=Intersectcrvs("bz1":"sg1"); np=length(pts); if(mod(np:2)==0: 	Letter([NE.x:SW.y]:"e":"外部"); 	Letter([NE.x:SW.y]:"e":"内部"); );  Windispg();  //Help("Intersect"); //Help("Option");,,[2]普段触れることのないソフトを使えるので面白い,,[1]I*n*t*e*r*s*e*c*t*c*r*v*s*("b*z*1":"s*g*1");n*p=l*e*n*g*t*h*(p*t*s);i*f*(m*o*d*(n*p:2)==0:	L*e*t*t*e*r*(:"e":"外部");	L*e*t*t*e*r*(:"e":"内部"););W*i*n*d*i*s*p*g*;//H*e*l*p*("I*n*t*e*r*s*e*c*t");//H*e*l*p*("O*p*t*i*o*n");,[2]普段触れることのないソフトを使えるので面白い,
29,1100AH,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
30,0029BN,0612,12:26:5,Q02---,[1]Ketinit();  Listplot("1":[A:B:C:A]:["dr:2"]);  Windispg();  //Help("List"); //Help("Option");,,[2]何も理解することができず、何をすればいいのかわからないまま授業が終わってしまいました。,,[1]K*e*t*i*n*i*t*;L*i*s*t*p*l*o*t*("1"::);W*i*n*d*i*s*p*g*;//H*e*l*p*("L*i*s*t");//H*e*l*p*("O*p*t*i*o*n");,[2]何も理解することができず、何をすればいいのかわからないまま授業が終わってしまいました。,
31,1004BN,0612,12:36:50,Q02---,[1]Ketinit();  Bezier("1":[A:B:C:D:A]:[G:H:K:F]); Listplot("1":[E:NE]); pts=Intersectcrvs("bz1":"sg1"); np=length(pts); if(mod(np:2)==0;   Letter([NE:x:SW.y]:"e":"外部"); :   Letter([NE:x:SW.y]:"e":"内部"); );  Windispg();  //Help("List"); //Help("Option");,,[2]難しくてよくわかりませんでした。,,[1]I*n*t*e*r*s*e*c*t*c*r*v*s*("b*z*1":"s*g*1");n*p=l*e*n*g*t*h*(p*t*s);i*f*(m*o*d*(n*p:2)==0;L*e*t*t*e*r*(:"e":"外部");:L*e*t*t*e*r*(:"e":"内部"););W*i*n*d*i*s*p*g*;//H*e*l*p*("L*i*s*t");//H*e*l*p*("O*p*t*i*o*n");,[2]難しくてよくわかりませんでした。,
32,1061BN,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
33,0044BV,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
34,1072MF,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
35,3042MF,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
36,3072MF,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
37,3118MF,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
