CA,2024,0619,,Q01---,[1],___,[2],0,[3],0,[4],0,[5],0,[6],0,[7],0,[1];1;,[2];1;,[3];1;,[4];1;,[5];1;,[6];1;,[7];1;,
15,0085AH,0619,12:12:31,Q01---,[1]y,,[2]y,,[3]y,,[4]y,,[5]まだ実行されていない,,[6]まだ作成されていない,,[7],,[1]y,[2]y,[3]y,[4]y,[5]まだ実行されていない,[6]まだ作成されていない,[7],
16,0086AH,0619,12:14:36,Q01---,[1]y,,[2]y,,[3]y,,[4]y,,[5]y,,[6]y,,[7],,[1]y,[2]y,[3]y,[4]y,[5]y,[6]y,[7],
17,0088AH,0619,12:12:3,Q01---,[1]y,,[2]y,,[3]y,,[4]y,,[5]y,,[6]y,,[7],,[1]y,[2]y,[3]y,[4]y,[5]y,[6]y,[7],
18,0089AH,0619,10:50:22,Q01---,[1]y,,[2]y,,[3]y,,[4]y,,[5]y,,[6]y,,[7],,[1]y,[2]y,[3]y,[4]y,[5]y,[6]y,[7],
19,0090AH,0619,12:12:44,Q01---,[1]y,,[2]y,,[3]y,,[4]y,,[5]y,,[6]y,,[7],,[1]y,[2]y,[3]y,[4]y,[5]y,[6]y,[7],
20,0091AH,0619,12:12:58,Q01---,[1]y,,[2]y,,[3]y,,[4]kettexがインストールできません,,[5]わかりません,,[6]y,,[7],,[1]y,[2]y,[3]y,[4]k*e*t*t*e*xがインストールできません,[5]わかりません,[6]y,[7],
21,0092AH,0619,12:10:0,Q01---,[1]y,,[2]y,,[3]y,,[4]y,,[5]y,,[6]y,,[7],,[1]y,[2]y,[3]y,[4]y,[5]y,[6]y,[7],
22,0098AH,,,Q01---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[5]na,0,[6]na,0,[7]na,0,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,[7]na,
23,0099AH,0619,11:52:41,Q01---,[1]y,,[2]y,,[3]y,,[4]y,,[5]y,,[6]y,,[7]現状，特に質問等はありません。,,[1]y,[2]y,[3]y,[4]y,[5]y,[6]y,[7]現状，特に質問等はありません。,
24,0102AH,,,Q01---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[5]na,0,[6]na,0,[7]na,0,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,[7]na,
25,1003AH,0619,12:12:46,Q01---,[1]y,,[2]y,,[3]y,,[4]y,,[5]y,,[6]y,,[7]y,,[1]y,[2]y,[3]y,[4]y,[5]y,[6]y,[7]y,
26,3002MH,,,Q01---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[5]na,0,[6]na,0,[7]na,0,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,[7]na,
27,1006AH,,,Q01---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[5]na,0,[6]na,0,[7]na,0,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,[7]na,
28,1054AH,0619,12:13:52,Q01---,[1]y,,[2]y,,[3]y,,[4]y,,[5]Rのエラー,,[6],,[7],,[1]y,[2]y,[3]y,[4]y,[5]Rのエラー,[6],[7],
29,1100AH,0619,12:13:54,Q01---,[1]y,,[2]y,,[3]y,,[4]y,,[5]分からない,,[6]図の作り方がよく分からず、PDF作成まで進んでいない,,[7],,[1]y,[2]y,[3]y,[4]y,[5]分からない,[6]図の作り方がよく分からず、P*D*F作成まで進んでいない,[7],
30,0029BN,0619,10:56:46,Q01---,[1]y,,[2]y,,[3]おそらく置いた気がするが、ちゃんとできているか自信がない,,[4]おそらく置いた気がするが、ちゃんとできているか自信がない,,[5]試していない,,[6]y,,[7],,[1]y,[2]y,[3]おそらく置いた気がするが、ちゃんとできているか自信がない,[4]おそらく置いた気がするが、ちゃんとできているか自信がない,[5]試していない,[6]y,[7],
31,1004BN,0619,10:54:18,Q01---,[1]y,,[2]y,,[3]y,,[4]y,,[5]y,,[6]y,,[7]特にないです。,,[1]y,[2]y,[3]y,[4]y,[5]y,[6]y,[7]特にないです。,
32,1061BN,,,Q01---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[5]na,0,[6]na,0,[7]na,0,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,[7]na,
33,0044BV,0619,12:28:38,Q01---,[1]1,,[2]ketcindymasterというファイルをダウンロードしたのですが、これは古いバージョンなのでしょうか？,,[3]1,,[4]1,,[5]1,,[6]figureボタンを押してもPDFが作成されません,,[7]Figureボタンを押しても反応しない場合はどうすれなばよいでしょうか,,[1]1,[2]k*e*t*c*i*n*d*y*m*a*s*t*e*rというファイルをダウンロードしたのですが、これは古いバージョンなのでしょうか？,[3]1,[4]1,[5]1,[6]f*i*g*u*r*eボタンを押してもP*D*Fが作成されません,[7]F*i*g*u*r*eボタンを押しても反応しない場合はどうすれなばよいでしょうか,
34,1072MF,,,Q01---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[5]na,0,[6]na,0,[7]na,0,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,[7]na,
35,3042MF,,,Q01---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[5]na,0,[6]na,0,[7]na,0,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,[7]na,
36,3072MF,,,Q01---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[5]na,0,[6]na,0,[7]na,0,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,[7]na,
37,3118MF,0619,12:13:36,Q01---,[1]はい,,[2]はい,,[3]はい,,[4]はい,,[5]はい,,[6]はい,,[7],,[1]はい,[2]はい,[3]はい,[4]はい,[5]はい,[6]はい,[7],
